Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A17007B_001,SE_A17007B_002,SE_A17007B_003,SE_A17007B_004,SE_A17007B_005,SE_A17007B_006,SE_A17007B_007,SE_A17007B_008,SE_A17007B_009,SE_A17007B_010,SE_A17007B_011,SE_A17007B_012,SE_A17007B_013,SE_A17007B_014,SE_A14006_001,SE_A17007A_001,SE_A17007A_002,SE_A17007A_003,SE_A17007A_004,SE_A17007A_005,SE_A17007A_006,SE_A17007A_007,SE_A17007A_008,SE_A17007A_009,SE_A17007A_010,SE_A17007A_011,SE_A17007A_012,SE_A17007A_013,SE_A17007A_014,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060710004011","15000US060710004011","Block Group 1, Census Tract 4.01, San Bernardino County, California","Block Group 1, Census Tract 4.01, San Bernardino County, California","ca","150","00","ACSSF","0025764",,,,,"06","071",,,,"000401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,49,74,32,0,16,0,7,29,182,0,5,0,0,80518,407,120,38,0,0,50,11,0,0,47,0,101,17,23,1484,4161.263,0.356622501725877
"060710004012","15000US060710004012","Block Group 2, Census Tract 4.01, San Bernardino County, California","Block Group 2, Census Tract 4.01, San Bernardino County, California","ca","150","00","ACSSF","0025765",,,,,"06","071",,,,"000401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,32,80,9,0,0,0,9,15,83,0,0,29,0,78681,349,85,8,0,7,34,0,0,11,39,0,110,0,55,1008,2255.822,0.44684376916032
"060710004013","15000US060710004013","Block Group 3, Census Tract 4.01, San Bernardino County, California","Block Group 3, Census Tract 4.01, San Bernardino County, California","ca","150","00","ACSSF","0025766",,,,,"06","071",,,,"000401","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,35,48,0,0,59,25,12,6,40,0,0,0,0,34677,338,25,19,0,15,0,65,10,22,0,6,107,20,49,1215,1715.071,0.708425290001344
"060710004014","15000US060710004014","Block Group 4, Census Tract 4.01, San Bernardino County, California","Block Group 4, Census Tract 4.01, San Bernardino County, California","ca","150","00","ACSSF","0025767",,,,,"06","071",,,,"000401","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,94,156,8,6,108,0,36,45,121,0,0,0,14,89911,598,71,17,16,39,41,0,0,41,167,0,84,31,91,2516,3114.671,0.807789843041744
"060710004031","15000US060710004031","Block Group 1, Census Tract 4.03, San Bernardino County, California","Block Group 1, Census Tract 4.03, San Bernardino County, California","ca","150","00","ACSSF","0025768",,,,,"06","071",,,,"000403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,10,42,10,0,9,0,7,9,55,0,0,0,0,70000,228,36,22,0,26,0,0,13,64,6,12,29,12,8,913,7314.924,0.124813319598392
"060710004032","15000US060710004032","Block Group 2, Census Tract 4.03, San Bernardino County, California","Block Group 2, Census Tract 4.03, San Bernardino County, California","ca","150","00","ACSSF","0025769",,,,,"06","071",,,,"000403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,10,37,52,0,0,7,28,45,216,0,20,0,0,56076,389,57,38,0,0,7,16,0,16,91,0,94,10,60,1665,4441.786,0.374849227100666
"060710004033","15000US060710004033","Block Group 3, Census Tract 4.03, San Bernardino County, California","Block Group 3, Census Tract 4.03, San Bernardino County, California","ca","150","00","ACSSF","0025770",,,,,"06","071",,,,"000403","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,31,81,18,0,34,0,16,109,73,0,0,0,0,91125,380,144,15,0,0,9,30,0,68,32,0,63,0,19,1814,2206.978,0.821938557244281
"060710004041","15000US060710004041","Block Group 1, Census Tract 4.04, San Bernardino County, California","Block Group 1, Census Tract 4.04, San Bernardino County, California","ca","150","00","ACSSF","0025771",,,,,"06","071",,,,"000404","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,50,179,0,0,10,0,74,14,157,0,9,7,13,65833,564,115,72,0,0,26,26,38,48,39,0,87,68,45,2397,3353.495,0.714776670779942
"060710004042","15000US060710004042","Block Group 2, Census Tract 4.04, San Bernardino County, California","Block Group 2, Census Tract 4.04, San Bernardino County, California","ca","150","00","ACSSF","0025772",,,,,"06","071",,,,"000404","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,21,108,0,0,55,35,30,22,96,0,0,0,12,52522,627,74,127,0,14,0,8,61,77,75,0,78,8,105,2141,5715.009,0.374627604452221
"060710005011","15000US060710005011","Block Group 1, Census Tract 5.01, San Bernardino County, California","Block Group 1, Census Tract 5.01, San Bernardino County, California","ca","150","00","ACSSF","0025773",,,,,"06","071",,,,"000501","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,124,187,16,23,32,88,87,120,250,0,0,71,7,70192,909,60,108,0,18,46,146,0,99,43,0,138,145,106,3857,7720.295,0.49959227610321
"060710005012","15000US060710005012","Block Group 2, Census Tract 5.01, San Bernardino County, California","Block Group 2, Census Tract 5.01, San Bernardino County, California","ca","150","00","ACSSF","0025774",,,,,"06","071",,,,"000501","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,54,44,0,0,32,0,44,13,44,0,0,38,0,67303,384,19,58,0,24,20,0,20,40,32,6,52,58,55,1732,6862.68,0.252379547704468
"060710005013","15000US060710005013","Block Group 3, Census Tract 5.01, San Bernardino County, California","Block Group 3, Census Tract 5.01, San Bernardino County, California","ca","150","00","ACSSF","0025775",,,,,"06","071",,,,"000501","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,22,121,47,0,15,21,37,38,51,0,0,2,0,101518,458,63,60,0,40,0,0,0,26,45,0,121,31,72,1447,5772.105,0.250688420178009
"060710005031","15000US060710005031","Block Group 1, Census Tract 5.03, San Bernardino County, California","Block Group 1, Census Tract 5.03, San Bernardino County, California","ca","150","00","ACSSF","0025776",,,,,"06","071",,,,"000503","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,49,25,11,0,11,0,87,18,59,0,0,0,0,44590,380,43,88,0,6,13,0,0,35,34,0,44,19,98,1629,13131.23,0.124055401028885
"060710005032","15000US060710005032","Block Group 2, Census Tract 5.03, San Bernardino County, California","Block Group 2, Census Tract 5.03, San Bernardino County, California","ca","150","00","ACSSF","0025777",,,,,"06","071",,,,"000503","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,14,102,0,0,11,0,60,8,83,0,13,0,0,66875,274,37,31,0,21,0,0,4,20,9,0,139,0,13,1196,4787.076,0.249839381495204
"060710005033","15000US060710005033","Block Group 3, Census Tract 5.03, San Bernardino County, California","Block Group 3, Census Tract 5.03, San Bernardino County, California","ca","150","00","ACSSF","0025778",,,,,"06","071",,,,"000503","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,60,168,26,7,54,0,45,50,109,0,0,0,0,55313,553,116,41,0,28,81,0,0,32,34,0,97,17,107,2001,16279.51,0.122915241306137
"060710005041","15000US060710005041","Block Group 1, Census Tract 5.04, San Bernardino County, California","Block Group 1, Census Tract 5.04, San Bernardino County, California","ca","150","00","ACSSF","0025779",,,,,"06","071",,,,"000504","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,17,18,0,10,0,8,0,5,54,0,0,9,23,52344,166,8,9,0,0,0,12,0,0,18,0,57,0,62,680,386.7835,1.75808961277041
"060710005042","15000US060710005042","Block Group 2, Census Tract 5.04, San Bernardino County, California","Block Group 2, Census Tract 5.04, San Bernardino County, California","ca","150","00","ACSSF","0025780",,,,,"06","071",,,,"000504","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,52,44,0,0,0,0,11,43,152,0,0,7,0,102500,383,33,41,7,0,0,44,14,41,40,0,90,21,52,1391,2783.92,0.499655210757733
"060710005043","15000US060710005043","Block Group 3, Census Tract 5.04, San Bernardino County, California","Block Group 3, Census Tract 5.04, San Bernardino County, California","ca","150","00","ACSSF","0025781",,,,,"06","071",,,,"000504","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,173,147,0,0,85,0,26,76,159,0,0,10,0,83550,700,104,72,0,8,0,0,89,39,55,0,195,44,94,2916,1509.505,1.93175914328561
