Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"06059063103","Census Tract 631.03, Orange County, California","ACSSF","ca","140","00","0007351",,,,,"06","059",,,"063103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063103","Census Tract 631.03",,,,3582,3582,3191,21,0,130,0,136,104,3582,3266,3017,15,0,130,0,0,104,316,174,6,0,0,0,136,0
"06059063201","Census Tract 632.01, Orange County, California","ACSSF","ca","140","00","0007352",,,,,"06","059",,,"063201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063201","Census Tract 632.01",,,,3760,3760,2964,20,0,212,0,331,233,3760,3252,2795,20,0,212,0,38,187,508,169,0,0,0,0,293,46
"06059063202","Census Tract 632.02, Orange County, California","ACSSF","ca","140","00","0007353",,,,,"06","059",,,"063202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063202","Census Tract 632.02",,,,3494,3494,2892,20,0,74,0,305,203,3494,2911,2748,20,0,74,0,0,69,583,144,0,0,0,0,305,134
"06059063301","Census Tract 633.01, Orange County, California","ACSSF","ca","140","00","0007354",,,,,"06","059",,,"063301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063301","Census Tract 633.01",,,,3244,3244,2796,63,0,115,26,110,134,3244,2871,2583,63,0,115,26,0,84,373,213,0,0,0,0,110,50
"06059063302","Census Tract 633.02, Orange County, California","ACSSF","ca","140","00","0007355",,,,,"06","059",,,"063302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063302","Census Tract 633.02",,,,4145,4145,3515,62,1,149,0,22,396,4145,3618,3108,56,0,141,0,0,313,527,407,6,1,8,0,22,83
"06059063400","Census Tract 634, Orange County, California","ACSSF","ca","140","00","0007356",,,,,"06","059",,,"063400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063400","Census Tract 634",,,,5164,5164,4725,5,0,124,0,71,239,5164,4856,4574,5,0,124,0,38,115,308,151,0,0,0,0,33,124
"06059063500","Census Tract 635, Orange County, California","ACSSF","ca","140","00","0007357",,,,,"06","059",,,"063500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063500","Census Tract 635",,,,5993,5993,5276,0,0,84,63,65,505,5993,4757,4442,0,0,84,63,0,168,1236,834,0,0,0,0,65,337
"06059063601","Census Tract 636.01, Orange County, California","ACSSF","ca","140","00","0007358",,,,,"06","059",,,"063601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063601","Census Tract 636.01",,,,4438,4438,3154,166,5,222,0,514,377,4438,3298,2712,166,0,214,0,24,182,1140,442,0,5,8,0,490,195
"06059063603","Census Tract 636.03, Orange County, California","ACSSF","ca","140","00","0007359",,,,,"06","059",,,"063603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063603","Census Tract 636.03",,,,5220,5220,4578,12,7,208,15,212,188,5220,4559,4145,12,7,183,15,78,119,661,433,0,0,25,0,134,69
"06059063604","Census Tract 636.04, Orange County, California","ACSSF","ca","140","00","0007360",,,,,"06","059",,,"063604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063604","Census Tract 636.04",,,,4401,4401,2238,23,135,183,0,1313,509,4401,2186,1732,14,53,183,0,24,180,2215,506,9,82,0,0,1289,329
