"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"7010-016-043","Warehousing, Distribution, Storage","1980","2","70096"
"6126-001-017","Warehousing, Distribution, Storage","1964","2","70086"
"7336-003-038","Warehousing, Distribution, Storage","1979","2","70080"
"8069-007-047","Warehousing, Distribution, Storage","1971","2","70049"
"2746-013-034","Warehousing, Distribution, Storage","1989","2","70031"
"011339446","storage warehouse","2001","2","70015"
"3126-031-057","Warehousing, Distribution, Storage","1981","2","70004"
"8719-001-016","Warehousing, Distribution, Storage","1985","2","70003"
"7352-019-062","Warehousing, Distribution, Storage","1995","2","69991"
"020926223","storage warehouse","1969","2","69986"
"7428-010-003","Warehousing, Distribution, Storage","1966","2","69964"
"8313-001-008","Warehousing, Distribution, Storage","1958","2","69959"
"023802137","storage warehouse","1996","2","69893"
"2513-028-032","Warehousing, Distribution, Storage","1985","2","69876"
"022911130","distribution warehouse","2001","2","69821"
"8009-025-067","Warehousing, Distribution, Storage","2002","2","69812"
"6132-006-018","Warehousing, Distribution, Storage","1979","2","69802"
"5243-019-010","Warehousing, Distribution, Storage","1952","2","69778"
"3109-024-048","Warehousing, Distribution, Storage","1991","2","69752"
"8564-009-021","Warehousing, Distribution, Storage","2001","2","69736"
"018184126","storage warehouse","1960","2","69694"
"066009103","storage warehouse","2007","2","69685"
"6309-026-028","Warehousing, Distribution, Storage","1948","2","69676"
"013213228","transit warehouse (truck terminal)","1958","2","69674"
"7306-020-041","Warehousing, Distribution, Storage","1972","2","69664"
"7357-027-024","Warehousing, Distribution, Storage","1987","2","69660"
"2746-012-039","Warehousing, Distribution, Storage","2005","2","69630"
"910150019","warehouse/dry storage","2008","2","69620"
"020949124","storage warehouse","1980","2","69616"
"7357-028-010","Warehousing, Distribution, Storage","1989","2","69601"
"2537-003-048","Warehousing, Distribution, Storage","1980","2","69585"
