"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"175160047","warehouse/dry storage","2021","2","68470"
"021127523","storage warehouse","1999","2","68464"
"6215-002-012","Warehousing, Distribution, Storage","1995","2","68430"
"7344-004-007","Warehousing, Distribution, Storage","1971","2","68420"
"7005-006-068","Warehousing, Distribution, Storage","1977","2","68404"
"2746-003-020","Warehousing, Distribution, Storage","1986","2","68402"
"102122125","storage warehouse","1990","2","68393"
"8114-011-007","Warehousing, Distribution, Storage","1999","2","68391"
"7001-009-024","Warehousing, Distribution, Storage","2001","2","68374"
"8103-022-035","Warehousing, Distribution, Storage","1978","2","68357"
"7351-020-019","Warehousing, Distribution, Storage","1962","2","68349"
"7347-018-076","Warehousing, Distribution, Storage","2008","2","68341"
"8069-007-033","Warehousing, Distribution, Storage","1973","2","68330"
"8435-015-220","Warehousing, Distribution, Storage","2018","2","68318"
"023824109","storage warehouse","1999","2","68312"
"6132-007-037","Warehousing, Distribution, Storage","1970","2","68301"
"7336-007-017","Warehousing, Distribution, Storage","2002","2","68300"
"022934115","storage warehouse","2016","2","68299"
"8264-027-004","Warehousing, Distribution, Storage","1968","2","68255"
"041004143","storage warehouse","2007","2","68254"
"7319-033-018","Warehousing, Distribution, Storage","1972","2","68252"
"023422106","storage warehouse","1987","2","68242"
"6304-022-037","Warehousing, Distribution, Storage","1959","2","68155"
"6354-032-013","Warehousing, Distribution, Storage","1959","2","68137"
"7339-008-007","Warehousing, Distribution, Storage","1973","2","68113"
"7310-016-077","Warehousing, Distribution, Storage","1981","2","68106"
"6304-013-027","Warehousing, Distribution, Storage","1951","2","68091"
"8242-026-001","Warehousing, Distribution, Storage","1980","2","68076"
"6336-012-038","Warehousing, Distribution, Storage","1957","2","68063"
"104928104","distribution warehouse","1957","2","68054"
"8417-035-014","Warehousing, Distribution, Storage","2001","2","68049"
"8541-017-054","Warehousing, Distribution, Storage","2017","2","68034"
"104920224","storage warehouse","2016","2","68019"
"7352-014-053","Warehousing, Distribution, Storage","1975","2","68009"
"023809181","storage warehouse","1990","2","67987"
"023805254","storage warehouse","2020","2","67986"
"7352-009-006","Warehousing, Distribution, Storage","1965","2","67974"
"5048-017-040","Warehousing, Distribution, Storage","1987","2","67914"
"8114-013-011","Warehousing, Distribution, Storage","1966","2","67909"
"3109-024-039","Warehousing, Distribution, Storage","1984","2","67852"
"023811152","storage warehouse","2005","2","67842"
"6340-015-007","Warehousing, Distribution, Storage","1979","2","67824"
"8322-001-020","Warehousing, Distribution, Storage","1983","2","67810"
"3010-023-009","Warehousing, Distribution, Storage","1923","2","67798"
"8208-024-055","Warehousing, Distribution, Storage","1977","2","67796"
"023714113","storage warehouse","1987","2","67750"
"6315-001-022","Warehousing, Distribution, Storage","2003","2","67714"
"7351-034-047","Warehousing, Distribution, Storage","1977","2","67706"
"025811136","storage warehouse","2006","2","67689"
"3109-025-048","Warehousing, Distribution, Storage","2007","2","67683"
"021126120","storage warehouse","2017","2","67663"
"5242-024-003","Warehousing, Distribution, Storage","1961","2","67637"
"8717-002-008","Warehousing, Distribution, Storage","1988","2","67634"
"4138-014-046","Warehousing, Distribution, Storage","1990","2","67614"
"8475-009-019","Warehousing, Distribution, Storage","1978","2","67607"
"7113-007-012","Warehousing, Distribution, Storage","1970","2","67600"
"2826-023-023","Warehousing, Distribution, Storage","2018","2","67590"
"041011213","storage warehouse","1985","2","67568"
"041527209","storage warehouse","2002","2","67567"
"041527207","storage warehouse","1967","2","67567"
"041527206","storage warehouse","1984","2","67567"
"041011220","storage warehouse","1910","2","67567"
"041011216","storage warehouse","1985","2","67532"
"6354-032-025","Warehousing, Distribution, Storage","1979","2","67511"
"025203273","storage warehouse","1981","2","67462"
"611025053","warehouse/dry storage","1987","2","67435"
"5127-003-028","Warehousing, Distribution, Storage","1954","2","67346"
"101210122","storage warehouse","2019","2","67343"
"8206-029-034","Warehousing, Distribution, Storage","2006","2","67331"
"116714112","storage warehouse","2007","2","67322"
"041527208","storage warehouse","2009","2","67306"
"105512107","storage warehouse","2017","2","67278"
"7005-005-095","Warehousing, Distribution, Storage","1985","2","67267"
"144010069","warehouse/dry storage","2018","2","67232"
"7359-009-017","Warehousing, Distribution, Storage","1984","2","67215"
"6007-018-012","Warehousing, Distribution, Storage","1925","2","67172"
"8206-021-046","Warehousing, Distribution, Storage","2002","2","67130"
"2746-014-039","Warehousing, Distribution, Storage","1997","2","67106"
"8417-035-015","Warehousing, Distribution, Storage","2001","2","67094"
"2603-009-043","Warehousing, Distribution, Storage","2004","2","67069"
"023102137","storage warehouse","1988","2","67048"
"8576-027-032","Warehousing, Distribution, Storage","1988","2","67033"
"2786-001-034","Warehousing, Distribution, Storage","1992","2","67028"
"041521102","storage warehouse","1976","2","67026"
"011341572","storage warehouse","2019","2","67025"
"6303-025-021","Warehousing, Distribution, Storage","1936","2","67011"
"5624-016-019","Warehousing, Distribution, Storage","1978","2","66974"
"8002-017-009","Warehousing, Distribution, Storage","1986","2","66924"
"7319-033-058","Warehousing, Distribution, Storage","1972","2","66914"
"8005-023-020","Warehousing, Distribution, Storage","1998","2","66902"
"7319-028-040","Warehousing, Distribution, Storage","1977","2","66880"
"6009-038-044","Warehousing, Distribution, Storage","2018","2","66880"
"4053-004-008","Warehousing, Distribution, Storage","1951","2","66822"
"6303-015-001","Warehousing, Distribution, Storage","1951","2","66789"
"7402-021-045","Warehousing, Distribution, Storage","2005","2","66786"
"3109-023-046","Warehousing, Distribution, Storage","1988","2","66767"
"028103186","storage warehouse","1986","2","66757"
"022926345","storage warehouse","1991","2","66684"
"8011-007-054","Warehousing, Distribution, Storage","2007","2","66652"
"7524-003-048","Warehousing, Distribution, Storage","1986","2","66642"
"6336-016-020","Warehousing, Distribution, Storage","1963","2","66642"
"8604-018-008","Warehousing, Distribution, Storage","1977","2","66626"
"8437-019-018","Warehousing, Distribution, Storage","2017","2","66608"
"8615-022-805","Warehousing, Distribution, Storage","1987","2","66588"
"6332-002-082","Warehousing, Distribution, Storage","2014","2","66578"
"7318-009-089","Warehousing, Distribution, Storage","1992","2","66558"
"6336-013-016","Warehousing, Distribution, Storage","1957","2","66524"
"144010068","warehouse/dry storage","2018","2","66502"
"2746-013-003","Warehousing, Distribution, Storage","1973","2","66465"
"6336-020-040","Warehousing, Distribution, Storage","1989","2","66464"
"8366-011-020","Warehousing, Distribution, Storage","1974","2","66418"
"8417-034-005","Warehousing, Distribution, Storage","1910","2","66396"
"4053-003-001","Warehousing, Distribution, Storage","1957","2","66393"
"3128-011-005","Warehousing, Distribution, Storage","1975","2","66391"
"7001-014-036","Warehousing, Distribution, Storage","2004","2","66377"
"6230-032-032","Warehousing, Distribution, Storage","1956","2","66374"
"011364106","storage warehouse","1999","2","66364"
"029205223","distribution warehouse","2007","2","66349"
"6332-006-010","Warehousing, Distribution, Storage","1957","2","66343"
"5130-019-031","Warehousing, Distribution, Storage","1977","2","66324"
"011339539","storage warehouse","2001","2","66297"
"7318-009-033","Warehousing, Distribution, Storage","1985","2","66285"
"7318-023-028","Warehousing, Distribution, Storage","2002","2","66269"
"8208-020-037","Warehousing, Distribution, Storage","2001","2","66218"
"023719141","storage warehouse","2018","2","66208"
"156350054","warehouse/dry storage","1998","2","66176"
"7149-017-044","Warehousing, Distribution, Storage","2017","2","66171"
"5169-023-037","Warehousing, Distribution, Storage","2015","2","66164"
"2604-035-014","Warehousing, Distribution, Storage","1991","2","66158"
"6356-017-023","Warehousing, Distribution, Storage","1967","2","66143"
"8245-004-023","Warehousing, Distribution, Storage","2002","2","66135"
"6332-009-017","Warehousing, Distribution, Storage","1976","2","66134"
"6224-033-024","Warehousing, Distribution, Storage","1961","2","66117"
"6383-038-006","Warehousing, Distribution, Storage","1988","2","66099"
"6354-027-016","Warehousing, Distribution, Storage","1956","2","66066"
"7318-023-023","Warehousing, Distribution, Storage","1986","2","66049"
"6125-002-033","Warehousing, Distribution, Storage","1976","2","66036"
"8437-019-016","Warehousing, Distribution, Storage","2018","2","66025"
"028029232","storage warehouse","1981","2","66024"
"6132-043-070","Warehousing, Distribution, Storage","1971","2","66022"
"2534-002-031","Warehousing, Distribution, Storage","1985","2","66017"
"013639110","storage warehouse","2004","2","66016"
"8011-016-016","Warehousing, Distribution, Storage","1981","2","65999"
"025409120","storage warehouse","1974","2","65982"
"014129125","storage warehouse","1988","2","65935"
"2616-010-018","Warehousing, Distribution, Storage","1986","2","65909"
"3022-022-024","Warehousing, Distribution, Storage","1980","2","65877"
"563323017","warehouse/dry storage","1939","2","65872"
"4256-010-012","Warehousing, Distribution, Storage","2001","2","65864"
"8760-008-004","Warehousing, Distribution, Storage","1979","2","65863"
"6234-007-049","Warehousing, Distribution, Storage","1979","2","65838"
"2538-002-015","Warehousing, Distribution, Storage","1973","2","65833"
"041004126","storage warehouse","2004","2","65809"
"4024-017-055","Warehousing, Distribution, Storage","1946","2","65782"
"6303-024-012","Warehousing, Distribution, Storage","1954","2","65771"
"8044-001-040","Warehousing, Distribution, Storage","2002","2","65767"
"6283-018-023","Warehousing, Distribution, Storage","1961","2","65757"
"167110034","warehouse/dry storage","1910","2","65752"
"7336-007-019","Warehousing, Distribution, Storage","2002","2","65745"
"6125-001-011","Warehousing, Distribution, Storage","1969","2","65742"
"134-451-24","wholesaling and warehousing","2001","2","65718"
"2320-003-025","Warehousing, Distribution, Storage","2004","2","65694"
"2537-003-044","Warehousing, Distribution, Storage","1989","2","65681"
"028029233","storage warehouse","1980","2","65675"
"2866-018-094","Warehousing, Distribution, Storage","1986","2","65655"
"6332-005-024","Warehousing, Distribution, Storage","1978","2","65612"
"105607121","storage warehouse","2022","2","65585"
"8619-010-112","Warehousing, Distribution, Storage","1988","2","65573"
"2408-040-032","Warehousing, Distribution, Storage","1987","2","65543"
"156090003","warehouse/dry storage","1997","2","65541"
"7406-025-038","Warehousing, Distribution, Storage","2011","2","65517"
"3271-027-052","Warehousing, Distribution, Storage","1910","2","65511"
"7211-006-041","Warehousing, Distribution, Storage","2002","2","65508"
"8564-009-022","Warehousing, Distribution, Storage","2001","2","65500"
"020903221","storage warehouse","1910","2","65496"
"023301103","storage warehouse","1990","2","65479"
"8760-025-073","Warehousing, Distribution, Storage","1975","2","65474"
"6102-014-070","Warehousing, Distribution, Storage","1978","2","65472"
"011339607","storage warehouse","1991","2","65469"
"7352-008-034","Warehousing, Distribution, Storage","1998","2","65461"
"7022-023-021","Warehousing, Distribution, Storage","1980","2","65445"
"6102-014-040","Warehousing, Distribution, Storage","1973","2","65442"
"6009-037-053","Warehousing, Distribution, Storage","1987","2","65426"
"6125-018-014","Warehousing, Distribution, Storage","1984","2","65399"
"7306-020-039","Warehousing, Distribution, Storage","1971","2","65390"
"4126-002-022","Warehousing, Distribution, Storage","2005","2","65362"
"8617-001-034","Warehousing, Distribution, Storage","2020","2","65356"
"7157-006-009","Warehousing, Distribution, Storage","2015","2","65350"
"8009-007-055","Warehousing, Distribution, Storage","1989","2","65327"
"023710104","storage warehouse","1985","2","65306"
"7352-008-067","Warehousing, Distribution, Storage","1996","2","65300"
"8760-024-063","Warehousing, Distribution, Storage","1998","2","65283"
"2866-018-120","Warehousing, Distribution, Storage","1990","2","65280"
"8564-013-026","Warehousing, Distribution, Storage","1968","2","65274"
"107315101","storage warehouse","2021","2","65267"
"6121-022-004","Warehousing, Distribution, Storage","1967","2","65253"
"8619-019-033","Warehousing, Distribution, Storage","1980","2","65224"
"4260-024-001","Warehousing, Distribution, Storage","1949","2","65216"
"8168-027-401","Warehousing, Distribution, Storage","1990","2","65200"
"041519106","storage warehouse","1986","2","65174"
"7351-031-018","Warehousing, Distribution, Storage","1982","2","65152"
"023612225","storage warehouse","2020","2","65145"
"6353-015-020","Warehousing, Distribution, Storage","1990","2","65133"
"7001-018-006","Warehousing, Distribution, Storage","1979","2","65065"
"8595-021-013","Warehousing, Distribution, Storage","1990","2","65062"
"8208-011-010","Warehousing, Distribution, Storage","1964","2","65026"
"5283-013-021","Warehousing, Distribution, Storage","1947","2","65026"
"7318-002-039","Warehousing, Distribution, Storage","1978","2","65005"
"5243-004-017","Warehousing, Distribution, Storage","1972","2","65001"
"104918109","storage warehouse","1991","2","64982"
"8378-027-019","Warehousing, Distribution, Storage","2003","2","64978"
"059405128","storage warehouse","2007","2","64964"
"8070-026-017","Warehousing, Distribution, Storage","1983","2","64924"
"8760-022-004","Warehousing, Distribution, Storage","1983","2","64908"
"3271-025-067","Warehousing, Distribution, Storage","1999","2","64900"
"016014133","storage warehouse","1958","2","64899"
"041524405","storage warehouse","1991","2","64889"
"8208-024-056","Warehousing, Distribution, Storage","1978","2","64850"
"8417-035-009","Warehousing, Distribution, Storage","2001","2","64831"
"3109-023-058","Warehousing, Distribution, Storage","1987","2","64830"
